category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Metabolism	Glycan biosynthesis and metabolism	hsa00513	Various types of N-glycan biosynthesis	1/220	42/8768	0.0238095238095238	0.948917748917749	-0.0532343131779729	0.656927651379243	0.999350398765587	0.974661828226803	338707	1
Cellular Processes	Cell growth and death	hsa04216	Ferroptosis	1/220	42/8768	0.0238095238095238	0.948917748917749	-0.0532343131779729	0.656927651379243	0.999350398765587	0.974661828226803	2512	1
Environmental Information Processing	Signaling molecules and interaction	hsa04512	ECM-receptor interaction	2/220	89/8768	0.0224719101123595	0.895607763023493	-0.158793583689081	0.658669746904564	0.999350398765587	0.974661828226803	1834/3161	2
Organismal Systems	Immune system	hsa04650	Natural killer cell mediated cytotoxicity	3/220	136/8768	0.0220588235294118	0.879144385026738	-0.227868953544012	0.668194635724029	0.999350398765587	0.974661828226803	2214/637/8743	3
Organismal Systems	Immune system	hsa04662	B cell receptor signaling pathway	2/220	91/8768	0.021978021978022	0.875924075924076	-0.190865749799422	0.670613107518233	0.999350398765587	0.974661828226803	55024/1380	2
Human Diseases	Infectious disease: bacterial	hsa05152	Tuberculosis	4/220	182/8768	0.021978021978022	0.875924075924076	-0.271351581582732	0.674796857638292	0.999350398765587	0.974661828226803	2214/637/929/3329	4
Cellular Processes	Cellular community - eukaryotes	hsa04520	Adherens junction	2/220	93/8768	0.021505376344086	0.857086999022483	-0.222271130505784	0.68221754633369	0.999350398765587	0.974661828226803	4633/4636	2
Human Diseases	Immune disease	hsa05332	Graft-versus-host disease	1/220	45/8768	0.0222222222222222	0.885656565656566	-0.123364198040241	0.682230389019197	0.999350398765587	0.974661828226803	941	1
Organismal Systems	Endocrine system	hsa04915	Estrogen signaling pathway	3/220	139/8768	0.0215827338129496	0.860170045781557	-0.266582703542855	0.682576843057773	0.999350398765587	0.974661828226803	7184/8648/6667	3
Human Diseases	Infectious disease: viral	hsa05162	Measles	3/220	139/8768	0.0215827338129496	0.860170045781557	-0.266582703542855	0.682576843057773	0.999350398765587	0.974661828226803	3559/637/1019	3
Environmental Information Processing	Signal transduction	hsa04371	Apelin signaling pathway	3/220	140/8768	0.0214285714285714	0.854025974025974	-0.27931169647535	0.687267316041529	0.999350398765587	0.974661828226803	6546/4633/6261	3
Metabolism	Metabolism of cofactors and vitamins	hsa00860	Porphyrin metabolism	1/220	46/8768	0.0217391304347826	0.866403162055336	-0.145737609197991	0.690244754996015	0.999350398765587	0.974661828226803	2512	1
Metabolism	Glycan biosynthesis and metabolism	hsa00514	Other types of O-glycan biosynthesis	1/220	47/8768	0.0212765957446809	0.847969052224371	-0.167649543655497	0.69805788889889	0.999350398765587	0.974661828226803	8985	1
Organismal Systems	Development and regeneration	hsa04380	Osteoclast differentiation	3/220	143/8768	0.020979020979021	0.836109345200254	-0.316991227933419	0.70102888790945	0.999350398765587	0.974661828226803	2214/7006/4688	3
Organismal Systems	Environmental adaptation	hsa04713	Circadian entrainment	2/220	97/8768	0.0206185567010309	0.82174320524836	-0.283205676598736	0.704426469513799	0.999350398765587	0.974661828226803	9722/6261	2
Cellular Processes	Cellular community - eukaryotes	hsa04550	Signaling pathways regulating pluripotency of stem cells	3/220	144/8768	0.0208333333333333	0.83030303030303	-0.329386310907234	0.705513132844674	0.999350398765587	0.974661828226803	2535/5080/55183	3
NA	NA	hsa03272	Virion - Hepatitis viruses	1/220	48/8768	0.0208333333333333	0.83030303030303	-0.189121563800487	0.705674820952811	0.999350398765587	0.974661828226803	949	1
Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	8/220	368/8768	0.0217391304347826	0.866403162055336	-0.420034566954467	0.711199604345289	0.999350398765587	0.974661828226803	728/10800/9934/1901/5023/5031/6869/27346	8
Human Diseases	Substance dependence	hsa05030	Cocaine addiction	1/220	49/8768	0.0204081632653061	0.813358070500928	-0.210173764765175	0.713100456204001	0.999350398765587	0.974661828226803	6571	1
Human Diseases	Drug resistance: antineoplastic	hsa01522	Endocrine resistance	2/220	99/8768	0.0202020202020202	0.80514233241506	-0.31279167273105	0.715040373209367	0.999350398765587	0.974661828226803	1019/6667	2
Organismal Systems	Immune system	hsa04666	Fc gamma R-mediated phagocytosis	2/220	99/8768	0.0202020202020202	0.80514233241506	-0.31279167273105	0.715040373209367	0.999350398765587	0.974661828226803	2214/10095	2
Human Diseases	Cancer: overview	hsa05231	Choline metabolism in cancer	2/220	99/8768	0.0202020202020202	0.80514233241506	-0.31279167273105	0.715040373209367	0.999350398765587	0.974661828226803	6583/6667	2
Human Diseases	Infectious disease: viral	hsa05171	Coronavirus disease - COVID-19	5/220	238/8768	0.0210084033613445	0.837280366692132	-0.408280376675298	0.718175370812592	0.999350398765587	0.974661828226803	713/728/3627/6403/7098	5
Organismal Systems	Immune system	hsa04613	Neutrophil extracellular trap formation	4/220	193/8768	0.0207253886010363	0.826000942063118	-0.392114654984724	0.718719769187333	0.999350398765587	0.974661828226803	728/2214/6403/4688	4
Metabolism	Carbohydrate metabolism	hsa00520	Amino sugar and nucleotide sugar metabolism	1/220	50/8768	0.02	0.797090909090909	-0.230824903078911	0.720339577621035	0.999350398765587	0.974661828226803	5372	1
Metabolism	Lipid metabolism	hsa00565	Ether lipid metabolism	1/220	50/8768	0.02	0.797090909090909	-0.230824903078911	0.720339577621035	0.999350398765587	0.974661828226803	7941	1
Organismal Systems	Endocrine system	hsa04913	Ovarian steroidogenesis	1/220	51/8768	0.0196078431372549	0.781461675579323	-0.251092511658143	0.727396849119472	0.999350398765587	0.974661828226803	949	1
Human Diseases	Infectious disease: bacterial	hsa05110	Vibrio cholerae infection	1/220	51/8768	0.0196078431372549	0.781461675579323	-0.251092511658143	0.727396849119472	0.999350398765587	0.974661828226803	9601	1
Human Diseases	Infectious disease: parasitic	hsa05142	Chagas disease	2/220	103/8768	0.0194174757281553	0.7738746690203	-0.370329348655563	0.735313137882007	0.999350398765587	0.974661828226803	713/9630	2
Organismal Systems	Excretory system	hsa04961	Endocrine and other factor-regulated calcium reabsorption	1/220	53/8768	0.0188679245283019	0.751972555746141	-0.290541760811828	0.740983920385157	0.999350398765587	0.974661828226803	6546	1
Organismal Systems	Circulatory system	hsa04261	Adrenergic signaling in cardiomyocytes	3/220	154/8768	0.0194805194805195	0.776387249114522	-0.44911656946353	0.747564789729116	0.999350398765587	0.974661828226803	6546/783/4633	3
Organismal Systems	Endocrine system	hsa04921	Oxytocin signaling pathway	3/220	155/8768	0.0193548387096774	0.771378299120235	-0.460691992740601	0.75149540774747	0.999350398765587	0.974661828226803	783/6261/7226	3
Human Diseases	Infectious disease: bacterial	hsa05131	Shigellosis	5/220	250/8768	0.02	0.797090909090909	-0.522164423140208	0.757295443369978	0.999350398765587	0.974661828226803	10095/11335/929/4633/4636	5
Environmental Information Processing	Signal transduction	hsa04350	TGF-beta signaling pathway	2/220	108/8768	0.0185185185185185	0.738047138047138	-0.439420856593169	0.758922251792199	0.999350398765587	0.974661828226803	6667/60436	2
Environmental Information Processing	Signal transduction	hsa04390	Hippo signaling pathway	3/220	157/8768	0.0191082802547771	0.761551823972206	-0.483639343797755	0.759210089344724	0.999350398765587	0.974661828226803	332/2535/6788	3
Human Diseases	Cancer: overview	hsa05203	Viral carcinogenesis	4/220	205/8768	0.0195121951219512	0.777649667405765	-0.516780751164811	0.761505222187292	0.999350398765587	0.974661828226803	1237/991/983/1019	4
Organismal Systems	Nervous system	hsa04730	Long-term depression	1/220	60/8768	0.0166666666666667	0.664242424242424	-0.41864588086813	0.783443335926754	0.999350398765587	0.974661828226803	6261	1
Metabolism	Lipid metabolism	hsa00140	Steroid hormone biosynthesis	1/220	62/8768	0.0161290322580645	0.642815249266862	-0.452776637165457	0.794247954723307	0.999350398765587	0.974661828226803	3290	1
Environmental Information Processing	Signal transduction	hsa04630	JAK-STAT signaling pathway	3/220	168/8768	0.0178571428571429	0.711688311688312	-0.605302198720427	0.798248490857432	0.999350398765587	0.974661828226803	316/3559/3598	3
Human Diseases	Cancer: specific types	hsa05217	Basal cell carcinoma	1/220	63/8768	0.0158730158730159	0.632611832611833	-0.469478424676208	0.799447294254765	0.999350398765587	0.974661828226803	2535	1
Genetic Information Processing	Folding, sorting and degradation	hsa04141	Protein processing in endoplasmic reticulum	3/220	170/8768	0.0176470588235294	0.70331550802139	-0.626650186280903	0.804751023913474	0.999350398765587	0.974661828226803	7184/10808/9601	3
Metabolism	Lipid metabolism	hsa00561	Glycerolipid metabolism	1/220	65/8768	0.0153846153846154	0.613146853146853	-0.502195604814711	0.809456835194726	0.999350398765587	0.974661828226803	2717	1
Genetic Information Processing	Translation	hsa00970	Aminoacyl-tRNA biosynthesis	1/220	66/8768	0.0151515151515152	0.603856749311295	-0.518226093063354	0.814273507176475	0.999350398765587	0.974661828226803	55157	1
Organismal Systems	Endocrine system	hsa04919	Thyroid hormone signaling pathway	2/220	122/8768	0.0163934426229508	0.653353204172876	-0.618534711667952	0.815582608759095	0.999350398765587	0.974661828226803	10231/8648	2
Human Diseases	Cancer: specific types	hsa05221	Acute myeloid leukemia	1/220	68/8768	0.0147058823529412	0.586096256684492	-0.549665869567805	0.823546230061246	0.999350398765587	0.974661828226803	929	1
Human Diseases	Infectious disease: viral	hsa05163	Human cytomegalovirus infection	4/220	226/8768	0.0176991150442478	0.705390185036203	-0.719823853669862	0.824050837203874	0.999350398765587	0.974661828226803	567/637/1019/6667	4
Organismal Systems	Immune system	hsa04664	Fc epsilon RI signaling pathway	1/220	69/8768	0.0144927536231884	0.577602108036891	-0.565088161517465	0.828008279416019	0.999350398765587	0.974661828226803	2206	1
Human Diseases	Substance dependence	hsa05031	Amphetamine addiction	1/220	69/8768	0.0144927536231884	0.577602108036891	-0.565088161517465	0.828008279416019	0.999350398765587	0.974661828226803	6571	1
Human Diseases	Neurodegenerative disease	hsa05020	Prion disease	5/220	278/8768	0.0179856115107914	0.71680837148463	-0.769756829402036	0.83259274758875	0.999350398765587	0.974661828226803	713/4688/5690/5708/6261	5
Cellular Processes	Cell motility	hsa04810	Regulation of actin cytoskeleton	4/220	230/8768	0.0173913043478261	0.693122529644269	-0.756581007997149	0.834296537435899	0.999350398765587	0.974661828226803	10095/128239/4633/4636	4
Organismal Systems	Immune system	hsa04622	RIG-I-like receptor signaling pathway	1/220	72/8768	0.0138888888888889	0.553535353535354	-0.6102364492542	0.840731618203387	0.999350398765587	0.974661828226803	3627	1
Human Diseases	Cancer: specific types	hsa05218	Melanoma	1/220	73/8768	0.0136986301369863	0.545952677459527	-0.624931394687186	0.844760947089686	0.999350398765587	0.974661828226803	1019	1
Human Diseases	Cancer: specific types	hsa05223	Non-small cell lung cancer	1/220	73/8768	0.0136986301369863	0.545952677459527	-0.624931394687186	0.844760947089686	0.999350398765587	0.974661828226803	1019	1
Organismal Systems	Endocrine system	hsa03320	PPAR signaling pathway	1/220	76/8768	0.0131578947368421	0.524401913875598	-0.668023318516236	0.8562501316444	0.999350398765587	0.974661828226803	4973	1
Human Diseases	Cancer: specific types	hsa05214	Glioma	1/220	76/8768	0.0131578947368421	0.524401913875598	-0.668023318516236	0.8562501316444	0.999350398765587	0.974661828226803	1019	1
Human Diseases	Cancer: specific types	hsa05220	Chronic myeloid leukemia	1/220	77/8768	0.012987012987013	0.517591499409681	-0.682071693786584	0.859888531441712	0.999350398765587	0.974661828226803	1019	1
Genetic Information Processing	Folding, sorting and degradation	hsa03018	RNA degradation	1/220	78/8768	0.0128205128205128	0.510955710955711	-0.695969474560376	0.863435249090179	0.999350398765587	0.974661828226803	3329	1
Organismal Systems	Nervous system	hsa04721	Synaptic vesicle cycle	1/220	79/8768	0.0126582278481013	0.504487917146145	-0.709720717638348	0.86689258455625	0.999350398765587	0.974661828226803	6571	1
Human Diseases	Cardiovascular disease	hsa05418	Fluid shear stress and atherosclerosis	2/220	141/8768	0.0141843971631206	0.565312701482914	-0.834759162419497	0.873435458170986	0.999350398765587	0.974661828226803	7184/4688	2
Genetic Information Processing	Folding, sorting and degradation	hsa04120	Ubiquitin mediated proteolysis	2/220	142/8768	0.0140845070422535	0.561331626120359	-0.845435260549568	0.87596320406551	0.999350398765587	0.974661828226803	672/991	2
Cellular Processes	Transport and catabolism	hsa04146	Peroxisome	1/220	83/8768	0.0120481927710843	0.480175246440307	-0.763335882733758	0.879872123282086	0.999350398765587	0.974661828226803	83594	1
Organismal Systems	Sensory system	hsa04742	Taste transduction	1/220	86/8768	0.0116279069767442	0.463424947145877	-0.802184745014473	0.888772719128165	0.999350398765587	0.974661828226803	9033	1
Human Diseases	Cardiovascular disease	hsa05415	Diabetic cardiomyopathy	3/220	205/8768	0.0146341463414634	0.583237250554324	-0.968628938860569	0.892817087352225	0.999350398765587	0.974661828226803	51660/4688/6667	3
Human Diseases	Cancer: overview	hsa05206	MicroRNAs in cancer	5/220	312/8768	0.016025641025641	0.638694638694639	-1.04249457294789	0.897354493678842	0.999350398765587	0.974661828226803	9839/672/993/113130/9493	5
Organismal Systems	Digestive system	hsa04976	Bile secretion	1/220	90/8768	0.0111111111111111	0.442828282828283	-0.852324714485513	0.899627099762737	0.999350398765587	0.974661828226803	949	1
Human Diseases	Substance dependence	hsa05032	Morphine addiction	1/220	91/8768	0.010989010989011	0.437962037962038	-0.864581890798349	0.902171699676565	0.999350398765587	0.974661828226803	8622	1
Cellular Processes	Cellular community - eukaryotes	hsa04540	Gap junction	1/220	92/8768	0.0108695652173913	0.433201581027668	-0.876733011118527	0.904652076082138	0.999350398765587	0.974661828226803	983	1
Organismal Systems	Immune system	hsa04658	Th1 and Th2 cell differentiation	1/220	93/8768	0.010752688172043	0.428543499511241	-0.888780457549121	0.907069842709838	0.999350398765587	0.974661828226803	3559	1
Human Diseases	Cancer: specific types	hsa05222	Small cell lung cancer	1/220	93/8768	0.010752688172043	0.428543499511241	-0.888780457549121	0.907069842709838	0.999350398765587	0.974661828226803	1019	1
Human Diseases	Cancer: overview	hsa05207	Chemical carcinogenesis - receptor activation	3/220	215/8768	0.013953488372093	0.556109936575053	-1.05715825217452	0.910432173710501	0.999350398765587	0.974661828226803	332/993/7184	3
Environmental Information Processing	Signal transduction	hsa04150	mTOR signaling pathway	2/220	158/8768	0.0126582278481013	0.504487917146145	-1.00829079809593	0.910570872002345	0.999350398765587	0.974661828226803	2535/79899	2
Human Diseases	Immune disease	hsa05323	Rheumatoid arthritis	1/220	95/8768	0.0105263157894737	0.419521531100478	-0.912573455182296	0.911723800725799	0.999350398765587	0.974661828226803	941	1
Organismal Systems	Digestive system	hsa04970	Salivary secretion	1/220	97/8768	0.0103092783505155	0.41087160262418	-0.935978382281627	0.916145694157178	0.999350398765587	0.974661828226803	362	1
Environmental Information Processing	Signal transduction	hsa04070	Phosphatidylinositol signaling system	1/220	98/8768	0.0102040816326531	0.406679035250464	-0.947540474952275	0.918273239686577	0.999350398765587	0.974661828226803	3706	1
Organismal Systems	Endocrine system	hsa04925	Aldosterone synthesis and secretion	1/220	98/8768	0.0102040816326531	0.406679035250464	-0.947540474952275	0.918273239686577	0.999350398765587	0.974661828226803	949	1
Human Diseases	Cancer: specific types	hsa05215	Prostate cancer	1/220	98/8768	0.0102040816326531	0.406679035250464	-0.947540474952275	0.918273239686577	0.999350398765587	0.974661828226803	7184	1
Organismal Systems	Endocrine system	hsa04916	Melanogenesis	1/220	101/8768	0.0099009900990099	0.394599459945995	-0.981688446003455	0.924338803518662	0.999350398765587	0.974661828226803	2535	1
Human Diseases	Endocrine and metabolic disease	hsa04933	AGE-RAGE signaling pathway in diabetic complications	1/220	101/8768	0.0099009900990099	0.394599459945995	-0.981688446003455	0.924338803518662	0.999350398765587	0.974661828226803	1019	1
Human Diseases	Cancer: specific types	hsa05225	Hepatocellular carcinoma	2/220	170/8768	0.0117647058823529	0.468877005347594	-1.12182582014094	0.930370335418043	0.999350398765587	0.974661828226803	1019/2535	2
Cellular Processes	Transport and catabolism	hsa04137	Mitophagy - animal	1/220	105/8768	0.00952380952380952	0.3795670995671	-1.02602962109993	0.931734674919119	0.999350398765587	0.974661828226803	6667	1
Environmental Information Processing	Signal transduction	hsa04066	HIF-1 signaling pathway	1/220	109/8768	0.00917431192660551	0.365638031693078	-1.06910683004302	0.938410564685137	0.999350398765587	0.974661828226803	285	1
Organismal Systems	Immune system	hsa04659	Th17 cell differentiation	1/220	109/8768	0.00917431192660551	0.365638031693078	-1.06910683004302	0.938410564685137	0.999350398765587	0.974661828226803	3559	1
Human Diseases	Infectious disease: parasitic	hsa05145	Toxoplasmosis	1/220	112/8768	0.00892857142857143	0.355844155844156	-1.10064160576559	0.942987243300265	0.999350398765587	0.974661828226803	959	1
Organismal Systems	Nervous system	hsa04726	Serotonergic synapse	1/220	115/8768	0.00869565217391304	0.346561264822134	-1.13155333954913	0.947225262174262	0.999350398765587	0.974661828226803	6571	1
Organismal Systems	Endocrine system	hsa04928	Parathyroid hormone synthesis, secretion and action	1/220	115/8768	0.00869565217391304	0.346561264822134	-1.13155333954913	0.947225262174262	0.999350398765587	0.974661828226803	6667	1
Organismal Systems	Development and regeneration	hsa04360	Axon guidance	2/220	184/8768	0.0108695652173913	0.433201581027668	-1.2465143259282	0.948244757856058	0.999350398765587	0.974661828226803	4636/10154	2
Genetic Information Processing	Chromosome	hsa03082	ATP-dependent chromatin remodeling	1/220	117/8768	0.00854700854700855	0.340637140637141	-1.15183121091022	0.949874863509559	0.999350398765587	0.974661828226803	8607	1
Environmental Information Processing	Signal transduction	hsa04668	TNF signaling pathway	1/220	119/8768	0.00840336134453781	0.334912146676853	-1.17185569607906	0.952392013659016	0.999350398765587	0.974661828226803	3627	1
Environmental Information Processing	Signal transduction	hsa04151	PI3K-Akt signaling pathway	5/220	362/8768	0.0138121546961326	0.55047714716223	-1.40125106171034	0.953128986707505	0.999350398765587	0.974661828226803	3559/285/672/1019/7184	5
Human Diseases	Neurodegenerative disease	hsa05016	Huntington disease	4/220	311/8768	0.0128617363344051	0.512598655363929	-1.40398781662489	0.956265542173725	0.999350398765587	0.974661828226803	55081/5690/5708/6667	4
Organismal Systems	Immune system	hsa04611	Platelet activation	1/220	126/8768	0.00793650793650794	0.316305916305916	-1.24006528635286	0.960251259355111	0.999350398765587	0.974661828226803	5023	1
Cellular Processes	Cellular community - eukaryotes	hsa04510	Focal adhesion	2/220	203/8768	0.00985221674876847	0.392655620241827	-1.40450710080501	0.965645714303058	0.999350398765587	0.974661828226803	4633/4636	2
Human Diseases	Infectious disease: bacterial	hsa05130	Pathogenic Escherichia coli infection	2/220	203/8768	0.00985221674876847	0.392655620241827	-1.40450710080501	0.965645714303058	0.999350398765587	0.974661828226803	10095/8743	2
Cellular Processes	Transport and catabolism	hsa04142	Lysosome	1/220	132/8768	0.00757575757575758	0.301928374655647	-1.29638865339127	0.965950595199349	0.999350398765587	0.974661828226803	2717	1
Organismal Systems	Nervous system	hsa04728	Dopaminergic synapse	1/220	132/8768	0.00757575757575758	0.301928374655647	-1.29638865339127	0.965950595199349	0.999350398765587	0.974661828226803	6571	1
Human Diseases	Cancer: overview	hsa05205	Proteoglycans in cancer	2/220	204/8768	0.00980392156862745	0.390730837789661	-1.41250677145452	0.96638581592684	0.999350398765587	0.974661828226803	287/2535	2
Human Diseases	Neurodegenerative disease	hsa05012	Parkinson disease	3/220	271/8768	0.011070110701107	0.441194230124119	-1.49905409447725	0.968948399283372	0.999350398765587	0.974661828226803	6571/5690/5708	3
Human Diseases	Infectious disease: viral	hsa05165	Human papillomavirus infection	4/220	333/8768	0.012012012012012	0.478733278733279	-1.55576558335538	0.970507520049657	0.999350398765587	0.974661828226803	8638/7098/1019/2535	4
Human Diseases	Infectious disease: bacterial	hsa05135	Yersinia infection	1/220	138/8768	0.0072463768115942	0.288801054018445	-1.35092063851294	0.970835914937058	0.999350398765587	0.974661828226803	10095	1
Environmental Information Processing	Signal transduction	hsa04072	Phospholipase D signaling pathway	1/220	149/8768	0.00671140939597315	0.267480170835876	-1.44673392742317	0.978051083133494	0.999350398765587	0.974661828226803	2206	1
Human Diseases	Cancer: specific types	hsa05226	Gastric cancer	1/220	150/8768	0.00666666666666667	0.26569696969697	-1.4551986797673	0.978611329300176	0.999350398765587	0.974661828226803	2535	1
Human Diseases	Endocrine and metabolic disease	hsa04932	Non-alcoholic fatty liver disease	1/220	157/8768	0.00636942675159236	0.253850607990735	-1.5133988791107	0.982153965813358	0.999350398765587	0.974661828226803	637	1
Human Diseases	Neurodegenerative disease	hsa05022	Pathways of neurodegeneration - multiple diseases	6/220	483/8768	0.0124223602484472	0.495087521174478	-1.83125152887595	0.984373901048477	0.999350398765587	0.974661828226803	637/2535/55081/5690/5708/6261	6
Environmental Information Processing	Signal transduction	hsa04022	cGMP-PKG signaling pathway	1/220	166/8768	0.00602409638554217	0.240087623220153	-1.58570512496639	0.98586371567134	0.999350398765587	0.974661828226803	6546	1
Genetic Information Processing	Translation	hsa03010	Ribosome	1/220	172/8768	0.00581395348837209	0.231712473572939	-1.63246691866655	0.987899461555359	0.999350398765587	0.974661828226803	219927	1
Cellular Processes	Transport and catabolism	hsa04144	Endocytosis	2/220	252/8768	0.00793650793650794	0.316305916305916	-1.76664322694464	0.988431516188052	0.999350398765587	0.974661828226803	3559/10095	2
Human Diseases	Neurodegenerative disease	hsa05010	Alzheimer disease	4/220	391/8768	0.010230179028133	0.407719135084864	-1.92210190808443	0.990087746662475	0.999350398765587	0.974661828226803	637/2535/5690/5708	4
Human Diseases	Substance dependence	hsa05034	Alcoholism	1/220	188/8768	0.00531914893617021	0.211992263056093	-1.75214623274405	0.992011054653154	0.999350398765587	0.974661828226803	6571	1
Environmental Information Processing	Signal transduction	hsa04015	Rap1 signaling pathway	1/220	212/8768	0.00471698113207547	0.187993138936535	-1.91998054603554	0.995720659155081	0.999350398765587	0.974661828226803	285	1
Human Diseases	Neurodegenerative disease	hsa05014	Amyotrophic lateral sclerosis	3/220	371/8768	0.00808625336927224	0.322273952462632	-2.13985153527549	0.996048779373028	0.999350398765587	0.974661828226803	637/5690/5708	3
Human Diseases	Cancer: overview	hsa05208	Chemical carcinogenesis - reactive oxygen species	1/220	226/8768	0.00442477876106195	0.176347546259051	-2.01244036424687	0.997029210603694	0.999350398765587	0.974661828226803	4688	1
Organismal Systems	Environmental adaptation	hsa04714	Thermogenesis	1/220	235/8768	0.00425531914893617	0.169593810444874	-2.070037546792	0.997651250257041	0.999350398765587	0.974661828226803	388753	1
Environmental Information Processing	Signal transduction	hsa04014	Ras signaling pathway	1/220	238/8768	0.00420168067226891	0.167456073338426	-2.0889387535246	0.997828295113344	0.999350398765587	0.974661828226803	285	1
Organismal Systems	Sensory system	hsa04740	Olfactory transduction	3/220	453/8768	0.00662251655629139	0.263937387116195	-2.58069880177438	0.999350398765587	0.999350398765587	0.974661828226803	6546/219869/81168	3
